antecedents_str,consequents_str,rule_str,support,confidence,lift,strength
LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN","LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",0.0137,0.3307,10.5709,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG DOLLY GIRL DESIGN",0.0137,0.437,10.5709,Very Strong
PACK OF 72 SKULL CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 72 SKULL CAKE CASES  →  PACK OF 60 DINOSAUR CAKE CASES,0.0136,0.3967,10.5618,Very Strong
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 72 SKULL CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES  →  PACK OF 72 SKULL CAKE CASES,0.0136,0.3619,10.5618,Very Strong
CHARLOTTE BAG APPLES DESIGN,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG APPLES DESIGN  →  RED RETROSPOT CHARLOTTE BAG,0.014,0.5148,10.5617,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG DOLLY GIRL DESIGN",LUNCH BAG SUKI DESIGN,"LUNCH BAG APPLE DESIGN, LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG SUKI DESIGN",0.0102,0.7056,10.5435,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG APPLE DESIGN",0.0114,0.6256,10.5386,Very Strong
"CHOCOLATE HOT WATER BOTTLE, HOT WATER BOTTLE TEA AND SYMPATHY",HOT WATER BOTTLE KEEP CALM,"CHOCOLATE HOT WATER BOTTLE, HOT WATER BOTTLE TEA AND SYMPATHY  →  HOT WATER BOTTLE KEEP CALM",0.0117,0.5777,10.516,Very Strong
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO BAG SCANDINAVIAN BLUE PAISLEY  →  JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",0.0105,0.3118,10.5041,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG SCANDINAVIAN BLUE PAISLEY,"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY  →  JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.0105,0.3523,10.5041,Very Strong
"WHITE HANGING HEART T-LIGHT HOLDER, WOODEN FRAME ANTIQUE WHITE",WOODEN PICTURE FRAME WHITE FINISH,"WHITE HANGING HEART T-LIGHT HOLDER, WOODEN FRAME ANTIQUE WHITE  →  WOODEN PICTURE FRAME WHITE FINISH",0.0142,0.7108,10.4591,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG PINK POLKADOT",LUNCH BAG APPLE DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG PINK POLKADOT  →  LUNCH BAG APPLE DESIGN",0.0105,0.619,10.429,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG DOLLY GIRL DESIGN",0.0125,0.4309,10.4239,Very Strong
LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN","LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",0.0125,0.3035,10.4239,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO BAG SPACEBOY DESIGN",JUMBO STORAGE BAG SUKI,"JUMBO BAG RED RETROSPOT, JUMBO BAG SPACEBOY DESIGN  →  JUMBO STORAGE BAG SUKI",0.0105,0.5991,10.4027,Very Strong
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,72 SWEETHEART FAIRY CAKE CASES  →  PACK OF 60 DINOSAUR CAKE CASES,0.0138,0.3904,10.394,Very Strong
PACK OF 60 DINOSAUR CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES  →  72 SWEETHEART FAIRY CAKE CASES,0.0138,0.3662,10.394,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG WOODLAND,"LUNCH BAG APPLE DESIGN, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG WOODLAND",0.0119,0.5606,10.3875,Very Strong
3 STRIPEY MICE FELTCRAFT,FELTCRAFT BUTTERFLY HEARTS,3 STRIPEY MICE FELTCRAFT  →  FELTCRAFT BUTTERFLY HEARTS,0.0102,0.3442,10.3862,Very Strong
FELTCRAFT BUTTERFLY HEARTS,3 STRIPEY MICE FELTCRAFT,FELTCRAFT BUTTERFLY HEARTS  →  3 STRIPEY MICE FELTCRAFT,0.0102,0.3083,10.3862,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG APPLE DESIGN",0.0118,0.6151,10.3619,Very Strong
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN  →  ALARM CLOCK BAKELIKE PINK,0.022,0.4038,10.3313,Very Strong
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK  →  ALARM CLOCK BAKELIKE GREEN,0.022,0.5617,10.3313,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG DOLLY GIRL DESIGN",LUNCH BAG WOODLAND,"LUNCH BAG  BLACK SKULL., LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG WOODLAND",0.011,0.5569,10.319,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG PINK POLKADOT",LUNCH BAG ALPHABET DESIGN,"LUNCH BAG APPLE DESIGN, LUNCH BAG PINK POLKADOT  →  LUNCH BAG ALPHABET DESIGN",0.0105,0.4869,10.2428,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND  →  LUNCH BAG DOLLY GIRL DESIGN",0.011,0.4228,10.2279,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG APPLE DESIGN",0.0117,0.6067,10.2209,Very Strong
HAND OVER THE CHOCOLATE   SIGN,COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN  →  COOK WITH WINE METAL SIGN,0.0203,0.447,10.1973,Very Strong
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,COOK WITH WINE METAL SIGN  →  HAND OVER THE CHOCOLATE   SIGN,0.0203,0.4642,10.1973,Very Strong
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG APPLE DESIGN",0.0101,0.6039,10.1732,Very Strong
"JUMBO BAG PINK POLKADOT, LUNCH BAG  BLACK SKULL.",LUNCH BAG PINK POLKADOT,"JUMBO BAG PINK POLKADOT, LUNCH BAG  BLACK SKULL.  →  LUNCH BAG PINK POLKADOT",0.0105,0.6895,10.1446,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG WOODLAND,"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG WOODLAND",0.0179,0.5452,10.1026,Very Strong
LUNCH BAG WOODLAND,"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN","LUNCH BAG WOODLAND  →  LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN",0.0179,0.3323,10.1026,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND  →  LUNCH BAG DOLLY GIRL DESIGN",0.0122,0.4176,10.1008,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG WOODLAND,"LUNCH BAG PINK POLKADOT, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG WOODLAND",0.0146,0.5449,10.0967,Very Strong
FELTCRAFT 6 FLOWER FRIENDS,FELTCRAFT BUTTERFLY HEARTS,FELTCRAFT 6 FLOWER FRIENDS  →  FELTCRAFT BUTTERFLY HEARTS,0.0114,0.3341,10.0827,Very Strong
FELTCRAFT BUTTERFLY HEARTS,FELTCRAFT 6 FLOWER FRIENDS,FELTCRAFT BUTTERFLY HEARTS  →  FELTCRAFT 6 FLOWER FRIENDS,0.0114,0.3447,10.0827,Very Strong
CHOCOLATE THIS WAY METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,CHOCOLATE THIS WAY METAL SIGN  →  HAND OVER THE CHOCOLATE   SIGN,0.0129,0.4585,10.0706,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG WOODLAND,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG WOODLAND",0.0102,0.5427,10.0564,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG APPLE DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG RED RETROSPOT  →  LUNCH BAG APPLE DESIGN",0.0114,0.5941,10.0094,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG PINK POLKADOT",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG PINK POLKADOT  →  LUNCH BAG SPACEBOY DESIGN",0.0121,0.7009,10.0054,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",JUMBO BAG SPACEBOY DESIGN,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI  →  JUMBO BAG SPACEBOY DESIGN",0.0105,0.3242,10.0016,Very Strong
JUMBO BAG SPACEBOY DESIGN,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI","JUMBO BAG SPACEBOY DESIGN  →  JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",0.0105,0.3226,10.0016,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG WOODLAND,"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG WOODLAND",0.0157,0.5387,9.9811,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG ALPHABET DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG ALPHABET DESIGN  →  LUNCH BAG APPLE DESIGN",0.0111,0.5923,9.978,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG CARS BLUE",LUNCH BAG ALPHABET DESIGN,"LUNCH BAG APPLE DESIGN, LUNCH BAG CARS BLUE  →  LUNCH BAG ALPHABET DESIGN",0.0102,0.4739,9.9691,Very Strong
"JUMBO BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG PINK POLKADOT,"JUMBO BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT  →  LUNCH BAG PINK POLKADOT",0.012,0.6773,9.9651,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG ALPHABET DESIGN,"LUNCH BAG APPLE DESIGN, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG ALPHABET DESIGN",0.0101,0.4735,9.9608,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG RED RETROSPOT",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG RED RETROSPOT  →  LUNCH BAG SPACEBOY DESIGN",0.0149,0.6955,9.9277,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG DOLLY GIRL DESIGN",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG SPACEBOY DESIGN",0.0125,0.6933,9.8969,Very Strong
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI",JUMBO BAG STRAWBERRY,"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI  →  JUMBO BAG STRAWBERRY",0.0102,0.4757,9.8728,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG DOLLY GIRL DESIGN",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG SPACEBOY DESIGN",0.0137,0.6911,9.8644,Very Strong
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE  →  HOT WATER BOTTLE TEA AND SYMPATHY,0.0202,0.3856,9.8635,Very Strong
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY  →  CHOCOLATE HOT WATER BOTTLE,0.0202,0.5165,9.8635,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SKULLS",JUMBO STORAGE BAG SUKI,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SKULLS  →  JUMBO STORAGE BAG SUKI",0.0108,0.5654,9.8179,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG CARS BLUE",LUNCH BAG APPLE DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG CARS BLUE  →  LUNCH BAG APPLE DESIGN",0.0102,0.5799,9.7697,Very Strong
"JUMBO BAG RED RETROSPOT, LUNCH BAG PINK POLKADOT",JUMBO BAG PINK POLKADOT,"JUMBO BAG RED RETROSPOT, LUNCH BAG PINK POLKADOT  →  JUMBO BAG PINK POLKADOT",0.0125,0.6175,9.7681,Very Strong
HOT WATER BOTTLE TEA AND SYMPATHY,HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE TEA AND SYMPATHY  →  HOT WATER BOTTLE I AM SO POORLY,0.0146,0.3745,9.7202,Very Strong
HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE TEA AND SYMPATHY,HOT WATER BOTTLE I AM SO POORLY  →  HOT WATER BOTTLE TEA AND SYMPATHY,0.0146,0.38,9.7202,Very Strong
"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO STORAGE BAG SUKI,"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY  →  JUMBO STORAGE BAG SUKI",0.0102,0.5595,9.715,Very Strong
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG VINTAGE LEAF DESIGN,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG VINTAGE LEAF DESIGN",0.0118,0.4249,9.6391,Very Strong
"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT",JUMBO BAG STRAWBERRY,"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED RETROSPOT  →  JUMBO BAG STRAWBERRY",0.0109,0.4639,9.6292,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN",LUNCH BAG ALPHABET DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN  →  LUNCH BAG ALPHABET DESIGN",0.0111,0.457,9.613,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN",LUNCH BAG SUKI DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN  →  LUNCH BAG SUKI DESIGN",0.0156,0.6424,9.5995,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG WOODLAND,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG WOODLAND",0.0129,0.5177,9.5922,Very Strong
LADIES & GENTLEMEN METAL SIGN,PLEASE ONE PERSON METAL SIGN,LADIES & GENTLEMEN METAL SIGN  →  PLEASE ONE PERSON METAL SIGN,0.0135,0.4927,9.5858,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN",LUNCH BAG WOODLAND,"LUNCH BAG  BLACK SKULL., LUNCH BAG APPLE DESIGN  →  LUNCH BAG WOODLAND",0.0125,0.5166,9.5713,Very Strong
COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN,COOK WITH WINE METAL SIGN  →  GIN + TONIC DIET METAL SIGN,0.0208,0.4734,9.5238,Very Strong
GIN + TONIC DIET METAL SIGN,COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN  →  COOK WITH WINE METAL SIGN,0.0208,0.4175,9.5238,Very Strong
"JUMBO BAG STRAWBERRY, JUMBO STORAGE BAG SUKI",JUMBO BAG PINK POLKADOT,"JUMBO BAG STRAWBERRY, JUMBO STORAGE BAG SUKI  →  JUMBO BAG PINK POLKADOT",0.0102,0.6019,9.5208,Very Strong
"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG DOLLY GIRL DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG SPACEBOY DESIGN",0.0125,0.6667,9.5163,Very Strong
"JUMBO BAG ALPHABET, JUMBO BAG RED RETROSPOT",JUMBO BAG APPLES,"JUMBO BAG ALPHABET, JUMBO BAG RED RETROSPOT  →  JUMBO BAG APPLES",0.0101,0.4682,9.5109,Very Strong
"60 TEATIME FAIRY CAKE CASES, PACK OF 60 DINOSAUR CAKE CASES",PACK OF 72 RETROSPOT CAKE CASES,"60 TEATIME FAIRY CAKE CASES, PACK OF 60 DINOSAUR CAKE CASES  →  PACK OF 72 RETROSPOT CAKE CASES",0.0102,0.635,9.4891,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO BAG VINTAGE LEAF",JUMBO BAG APPLES,"JUMBO BAG RED RETROSPOT, JUMBO BAG VINTAGE LEAF  →  JUMBO BAG APPLES",0.0119,0.4669,9.4848,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SKULLS",JUMBO BAG PINK POLKADOT,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SKULLS  →  JUMBO BAG PINK POLKADOT",0.0114,0.5992,9.4775,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG CARS BLUE",LUNCH BAG WOODLAND,"LUNCH BAG APPLE DESIGN, LUNCH BAG CARS BLUE  →  LUNCH BAG WOODLAND",0.011,0.5112,9.4719,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG APPLE DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG APPLE DESIGN",0.0101,0.5605,9.4433,Very Strong
"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG PINK POLKADOT, LUNCH BAG SUKI DESIGN  →  LUNCH BAG DOLLY GIRL DESIGN",0.0105,0.3904,9.443,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG PINK VINTAGE PAISLEY,"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY  →  JUMBO BAG PINK VINTAGE PAISLEY",0.0123,0.4146,9.4417,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG VINTAGE LEAF DESIGN",LUNCH BAG SUKI DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG VINTAGE LEAF DESIGN  →  LUNCH BAG SUKI DESIGN",0.0121,0.6318,9.4413,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG CARS BLUE",LUNCH BAG SUKI DESIGN,"LUNCH BAG APPLE DESIGN, LUNCH BAG CARS BLUE  →  LUNCH BAG SUKI DESIGN",0.0136,0.6306,9.4233,Very Strong
JUMBO BAG VINTAGE DOILY,LUNCH BAG VINTAGE DOILY,JUMBO BAG VINTAGE DOILY  →  LUNCH BAG VINTAGE DOILY,0.0162,0.3648,9.4096,Very Strong
LUNCH BAG VINTAGE DOILY,JUMBO BAG VINTAGE DOILY,LUNCH BAG VINTAGE DOILY  →  JUMBO BAG VINTAGE DOILY,0.0162,0.417,9.4096,Very Strong
LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD  →  HOME BUILDING BLOCK WORD,0.0211,0.4953,9.4011,Very Strong
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD  →  LOVE BUILDING BLOCK WORD,0.0211,0.4,9.4011,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG PINK POLKADOT",LUNCH BAG SUKI DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG PINK POLKADOT  →  LUNCH BAG SUKI DESIGN",0.0106,0.6286,9.3931,Very Strong
PACK OF 60 SPACEBOY CAKE CASES,60 TEATIME FAIRY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES  →  60 TEATIME FAIRY CAKE CASES,0.0117,0.4367,9.3784,Very Strong
"WHITE HANGING HEART T-LIGHT HOLDER, WOODEN PICTURE FRAME WHITE FINISH",WOODEN FRAME ANTIQUE WHITE,"WHITE HANGING HEART T-LIGHT HOLDER, WOODEN PICTURE FRAME WHITE FINISH  →  WOODEN FRAME ANTIQUE WHITE",0.0142,0.5803,9.3704,Very Strong
72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES  →  60 TEATIME FAIRY CAKE CASES,0.0154,0.4361,9.3639,Very Strong
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES  →  72 SWEETHEART FAIRY CAKE CASES,0.0154,0.3299,9.3639,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG CARS BLUE",LUNCH BAG SUKI DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG CARS BLUE  →  LUNCH BAG SUKI DESIGN",0.011,0.6256,9.3482,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG APPLE DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG DOLLY GIRL DESIGN",0.0102,0.386,9.3373,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND",LUNCH BAG SUKI DESIGN,"LUNCH BAG APPLE DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG SUKI DESIGN",0.0123,0.6245,9.3321,Very Strong
JUMBO STORAGE BAG SKULLS,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI","JUMBO STORAGE BAG SKULLS  →  JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",0.0108,0.3004,9.3154,Very Strong
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",JUMBO STORAGE BAG SKULLS,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI  →  JUMBO STORAGE BAG SKULLS",0.0108,0.3342,9.3154,Very Strong
"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG SUKI DESIGN,"LUNCH BAG ALPHABET DESIGN, LUNCH BAG SPACEBOY DESIGN  →  LUNCH BAG SUKI DESIGN",0.0112,0.6233,9.3146,Very Strong
"LUNCH BAG SUKI DESIGN, LUNCH BAG WOODLAND",LUNCH BAG APPLE DESIGN,"LUNCH BAG SUKI DESIGN, LUNCH BAG WOODLAND  →  LUNCH BAG APPLE DESIGN",0.0123,0.5523,9.3053,Very Strong
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER LARGE,"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER  →  HEART OF WICKER LARGE",0.0115,0.5766,9.2984,Very Strong
"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN  →  LUNCH BAG DOLLY GIRL DESIGN",0.0121,0.3842,9.2939,Very Strong
LUNCH BAG WOODLAND,"LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT","LUNCH BAG WOODLAND  →  LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT",0.0166,0.3085,9.287,Very Strong
"LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT",LUNCH BAG WOODLAND,"LUNCH BAG CARS BLUE, LUNCH BAG RED RETROSPOT  →  LUNCH BAG WOODLAND",0.0166,0.5012,9.287,Very Strong
LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN","LUNCH BAG DOLLY GIRL DESIGN  →  LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN",0.0126,0.3054,9.2852,Very Strong
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN",LUNCH BAG DOLLY GIRL DESIGN,"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN  →  LUNCH BAG DOLLY GIRL DESIGN",0.0126,0.3839,9.2852,Very Strong
"LUNCH BAG APPLE DESIGN, LUNCH BAG SUKI DESIGN",LUNCH BAG ALPHABET DESIGN,"LUNCH BAG APPLE DESIGN, LUNCH BAG SUKI DESIGN  →  LUNCH BAG ALPHABET DESIGN",0.0117,0.4407,9.2717,Very Strong
JUMBO BAG PEARS,JUMBO BAG VINTAGE LEAF,JUMBO BAG PEARS  →  JUMBO BAG VINTAGE LEAF,0.0176,0.5227,9.257,Very Strong
JUMBO BAG VINTAGE LEAF,JUMBO BAG PEARS,JUMBO BAG VINTAGE LEAF  →  JUMBO BAG PEARS,0.0176,0.312,9.257,Very Strong
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES  →  60 TEATIME FAIRY CAKE CASES,0.0199,0.4303,9.2402,Very Strong
