"customerid","lifetime_spend","past_orders","days_inactive","avg_order_value","reactivation_tier","last_purchase"
16202,"365.27",1,361,"365.27","Low Value — Bulk Email Only","14 Dec 2010"
14886,"364.80",1,253,"364.80","Low Value — Bulk Email Only","01 Apr 2011"
12373,"364.60",1,311,"364.60","Low Value — Bulk Email Only","01 Feb 2011"
15343,"364.50",1,87,"364.50","Low Value — Bulk Email Only","13 Sep 2011"
14171,"363.79",1,98,"363.79","Low Value — Bulk Email Only","02 Sep 2011"
16509,"363.70",1,297,"363.70","Low Value — Bulk Email Only","16 Feb 2011"
18056,"363.65",1,288,"363.65","Low Value — Bulk Email Only","24 Feb 2011"
12915,"363.65",2,149,"181.82","Low Value — Bulk Email Only","14 Jul 2011"
16485,"363.65",1,77,"363.65","Low Value — Bulk Email Only","23 Sep 2011"
14932,"363.53",1,366,"363.53","Low Value — Bulk Email Only","09 Dec 2010"
16305,"361.22",1,139,"361.22","Low Value — Bulk Email Only","24 Jul 2011"
13291,"361.11",1,156,"361.11","Low Value — Bulk Email Only","07 Jul 2011"
15120,"358.82",1,134,"358.82","Low Value — Bulk Email Only","29 Jul 2011"
16823,"358.38",1,227,"358.38","Low Value — Bulk Email Only","26 Apr 2011"
13228,"358.00",1,81,"358.00","Low Value — Bulk Email Only","19 Sep 2011"
13976,"357.98",1,207,"357.98","Low Value — Bulk Email Only","17 May 2011"
16274,"357.95",1,373,"357.95","Low Value — Bulk Email Only","01 Dec 2010"
13453,"356.98",2,166,"178.49","Low Value — Bulk Email Only","27 Jun 2011"
15247,"356.00",1,122,"356.00","Low Value — Bulk Email Only","09 Aug 2011"
13642,"354.80",1,216,"354.80","Low Value — Bulk Email Only","08 May 2011"
12888,"354.12",2,214,"177.06","Low Value — Bulk Email Only","09 May 2011"
12715,"353.86",1,106,"353.86","Low Value — Bulk Email Only","25 Aug 2011"
13210,"353.48",1,94,"353.48","Low Value — Bulk Email Only","07 Sep 2011"
13343,"353.43",1,178,"353.43","Low Value — Bulk Email Only","15 Jun 2011"
17976,"353.19",1,372,"353.19","Low Value — Bulk Email Only","02 Dec 2010"
12566,"351.65",1,86,"351.65","Low Value — Bulk Email Only","14 Sep 2011"
15789,"351.30",1,358,"351.30","Low Value — Bulk Email Only","16 Dec 2010"
13740,"350.75",1,241,"350.75","Low Value — Bulk Email Only","13 Apr 2011"
13108,"350.06",1,373,"350.06","Low Value — Bulk Email Only","02 Dec 2010"
13670,"349.70",1,75,"349.70","Low Value — Bulk Email Only","25 Sep 2011"
13887,"349.55",1,204,"349.55","Low Value — Bulk Email Only","19 May 2011"
18250,"349.27",1,310,"349.27","Low Value — Bulk Email Only","02 Feb 2011"
15405,"349.10",1,189,"349.10","Low Value — Bulk Email Only","03 Jun 2011"
13927,"348.99",1,75,"348.99","Low Value — Bulk Email Only","26 Sep 2011"
16159,"348.20",1,282,"348.20","Low Value — Bulk Email Only","03 Mar 2011"
13052,"348.15",1,212,"348.15","Low Value — Bulk Email Only","11 May 2011"
13497,"348.05",2,283,"174.03","Low Value — Bulk Email Only","02 Mar 2011"
13649,"346.60",2,257,"173.30","Low Value — Bulk Email Only","28 Mar 2011"
17123,"345.30",1,162,"345.30","Low Value — Bulk Email Only","01 Jul 2011"
13774,"345.00",1,82,"345.00","Low Value — Bulk Email Only","19 Sep 2011"
14633,"344.90",1,266,"344.90","Low Value — Bulk Email Only","18 Mar 2011"
16978,"344.33",1,78,"344.33","Low Value — Bulk Email Only","23 Sep 2011"
17569,"344.14",1,332,"344.14","Low Value — Bulk Email Only","11 Jan 2011"
15047,"343.62",1,270,"343.62","Low Value — Bulk Email Only","15 Mar 2011"
15880,"343.28",1,369,"343.28","Low Value — Bulk Email Only","05 Dec 2010"
13737,"339.60",1,200,"339.60","Low Value — Bulk Email Only","23 May 2011"
16545,"339.30",1,165,"339.30","Low Value — Bulk Email Only","28 Jun 2011"
17697,"338.95",1,236,"338.95","Low Value — Bulk Email Only","17 Apr 2011"
15652,"337.74",1,91,"337.74","Low Value — Bulk Email Only","09 Sep 2011"
15942,"337.44",1,134,"337.44","Low Value — Bulk Email Only","29 Jul 2011"
16105,"336.96",1,249,"336.96","Low Value — Bulk Email Only","05 Apr 2011"
15921,"336.03",1,173,"336.03","Low Value — Bulk Email Only","20 Jun 2011"
14196,"335.52",1,107,"335.52","Low Value — Bulk Email Only","25 Aug 2011"
16063,"335.32",1,260,"335.32","Low Value — Bulk Email Only","24 Mar 2011"
12489,"334.93",1,336,"334.93","Low Value — Bulk Email Only","07 Jan 2011"
14988,"334.54",1,212,"334.54","Low Value — Bulk Email Only","12 May 2011"
15466,"334.53",1,85,"334.53","Low Value — Bulk Email Only","15 Sep 2011"
12350,"334.40",1,310,"334.40","Low Value — Bulk Email Only","02 Feb 2011"
13216,"333.74",1,268,"333.74","Low Value — Bulk Email Only","17 Mar 2011"
16625,"333.08",1,275,"333.08","Low Value — Bulk Email Only","10 Mar 2011"
16850,"332.41",1,334,"332.41","Low Value — Bulk Email Only","10 Jan 2011"
16030,"331.24",1,310,"331.24","Low Value — Bulk Email Only","03 Feb 2011"
15210,"331.18",1,225,"331.18","Low Value — Bulk Email Only","28 Apr 2011"
17862,"330.90",1,324,"330.90","Low Value — Bulk Email Only","20 Jan 2011"
13706,"330.79",1,303,"330.79","Low Value — Bulk Email Only","10 Feb 2011"
15130,"330.11",1,170,"330.11","Low Value — Bulk Email Only","23 Jun 2011"
17866,"329.65",1,143,"329.65","Low Value — Bulk Email Only","20 Jul 2011"
13239,"329.56",1,262,"329.56","Low Value — Bulk Email Only","23 Mar 2011"
17154,"329.34",1,75,"329.34","Low Value — Bulk Email Only","25 Sep 2011"
14012,"328.80",1,278,"328.80","Low Value — Bulk Email Only","07 Mar 2011"
14747,"328.20",1,249,"328.20","Low Value — Bulk Email Only","04 Apr 2011"
14206,"328.16",1,239,"328.16","Low Value — Bulk Email Only","14 Apr 2011"
17805,"327.99",1,74,"327.99","Low Value — Bulk Email Only","27 Sep 2011"
15314,"327.97",1,199,"327.97","Low Value — Bulk Email Only","24 May 2011"
14870,"327.25",1,262,"327.25","Low Value — Bulk Email Only","23 Mar 2011"
15363,"326.00",1,373,"326.00","Low Value — Bulk Email Only","02 Dec 2010"
14850,"325.75",1,312,"325.75","Low Value — Bulk Email Only","01 Feb 2011"
15944,"325.10",1,277,"325.10","Low Value — Bulk Email Only","08 Mar 2011"
12790,"324.92",1,192,"324.92","Low Value — Bulk Email Only","31 May 2011"
16739,"323.00",1,177,"323.00","Low Value — Bulk Email Only","16 Jun 2011"
16627,"322.80",1,79,"322.80","Low Value — Bulk Email Only","21 Sep 2011"
15236,"321.05",1,299,"321.05","Low Value — Bulk Email Only","14 Feb 2011"
16096,"320.62",1,264,"320.62","Low Value — Bulk Email Only","20 Mar 2011"
14622,"320.58",1,185,"320.58","Low Value — Bulk Email Only","08 Jun 2011"
16967,"319.02",1,189,"319.02","Low Value — Bulk Email Only","03 Jun 2011"
17248,"318.65",1,120,"318.65","Low Value — Bulk Email Only","11 Aug 2011"
12648,"318.05",1,155,"318.05","Low Value — Bulk Email Only","08 Jul 2011"
18066,"318.00",1,75,"318.00","Low Value — Bulk Email Only","25 Sep 2011"
17172,"317.76",1,79,"317.76","Low Value — Bulk Email Only","22 Sep 2011"
15257,"317.15",1,283,"317.15","Low Value — Bulk Email Only","01 Mar 2011"
15243,"316.68",1,74,"316.68","Low Value — Bulk Email Only","26 Sep 2011"
16761,"316.62",1,97,"316.62","Low Value — Bulk Email Only","04 Sep 2011"
15204,"316.58",1,357,"316.58","Low Value — Bulk Email Only","17 Dec 2010"
13494,"316.26",1,312,"316.26","Low Value — Bulk Email Only","01 Feb 2011"
12614,"315.60",1,278,"315.60","Low Value — Bulk Email Only","07 Mar 2011"
16193,"314.45",1,237,"314.45","Low Value — Bulk Email Only","17 Apr 2011"
16227,"314.22",1,225,"314.22","Low Value — Bulk Email Only","28 Apr 2011"
15970,"314.10",1,304,"314.10","Low Value — Bulk Email Only","09 Feb 2011"
13484,"313.80",1,241,"313.80","Low Value — Bulk Email Only","12 Apr 2011"
16582,"313.62",1,113,"313.62","Low Value — Bulk Email Only","18 Aug 2011"
14729,"313.49",1,374,"313.49","Low Value — Bulk Email Only","01 Dec 2010"
12834,"312.38",1,283,"312.38","Low Value — Bulk Email Only","02 Mar 2011"
17070,"312.14",1,114,"312.14","Low Value — Bulk Email Only","17 Aug 2011"
12785,"311.95",1,364,"311.95","Low Value — Bulk Email Only","10 Dec 2010"
16450,"311.92",1,150,"311.92","Low Value — Bulk Email Only","13 Jul 2011"
14142,"311.81",1,373,"311.81","Low Value — Bulk Email Only","01 Dec 2010"
15326,"311.71",1,334,"311.71","Low Value — Bulk Email Only","10 Jan 2011"
14951,"311.69",1,79,"311.69","Low Value — Bulk Email Only","21 Sep 2011"
14327,"311.65",1,163,"311.65","Low Value — Bulk Email Only","29 Jun 2011"
12852,"311.55",1,295,"311.55","Low Value — Bulk Email Only","18 Feb 2011"
13990,"311.30",1,213,"311.30","Low Value — Bulk Email Only","10 May 2011"
16781,"311.25",1,372,"311.25","Low Value — Bulk Email Only","02 Dec 2010"
15308,"310.47",1,274,"310.47","Low Value — Bulk Email Only","10 Mar 2011"
14311,"310.26",1,243,"310.26","Low Value — Bulk Email Only","11 Apr 2011"
14924,"310.05",1,246,"310.05","Low Value — Bulk Email Only","08 Apr 2011"
16810,"309.54",1,192,"309.54","Low Value — Bulk Email Only","31 May 2011"
14339,"309.52",1,243,"309.52","Low Value — Bulk Email Only","11 Apr 2011"
14847,"309.40",1,149,"309.40","Low Value — Bulk Email Only","14 Jul 2011"
12884,"309.05",1,88,"309.05","Low Value — Bulk Email Only","12 Sep 2011"
13787,"309.04",2,76,"154.52","Low Value — Bulk Email Only","25 Sep 2011"
13699,"308.58",1,155,"308.58","Low Value — Bulk Email Only","07 Jul 2011"
13369,"308.28",1,366,"308.28","Low Value — Bulk Email Only","09 Dec 2010"
13466,"307.90",1,184,"307.90","Low Value — Bulk Email Only","08 Jun 2011"
15973,"307.82",1,367,"307.82","Low Value — Bulk Email Only","08 Dec 2010"
13529,"307.76",2,79,"153.88","Low Value — Bulk Email Only","22 Sep 2011"
13395,"307.72",1,185,"307.72","Low Value — Bulk Email Only","07 Jun 2011"
13060,"307.53",1,254,"307.53","Low Value — Bulk Email Only","31 Mar 2011"
17120,"307.46",1,233,"307.46","Low Value — Bulk Email Only","20 Apr 2011"
13932,"307.40",1,295,"307.40","Low Value — Bulk Email Only","18 Feb 2011"
17551,"306.84",1,359,"306.84","Low Value — Bulk Email Only","15 Dec 2010"
13762,"306.72",1,219,"306.72","Low Value — Bulk Email Only","05 May 2011"
13718,"306.55",2,246,"153.28","Low Value — Bulk Email Only","07 Apr 2011"
17176,"306.13",1,202,"306.13","Low Value — Bulk Email Only","22 May 2011"
18251,"306.00",1,87,"306.00","Low Value — Bulk Email Only","13 Sep 2011"
13863,"305.78",1,248,"305.78","Low Value — Bulk Email Only","06 Apr 2011"
15219,"305.75",1,176,"305.75","Low Value — Bulk Email Only","16 Jun 2011"
16796,"305.62",1,89,"305.62","Low Value — Bulk Email Only","11 Sep 2011"
16181,"305.54",1,73,"305.54","Low Value — Bulk Email Only","27 Sep 2011"
13045,"305.28",1,99,"305.28","Low Value — Bulk Email Only","01 Sep 2011"
12623,"305.10",1,276,"305.10","Low Value — Bulk Email Only","08 Mar 2011"
13667,"305.02",1,149,"305.02","Low Value — Bulk Email Only","13 Jul 2011"
18185,"304.25",1,249,"304.25","Low Value — Bulk Email Only","04 Apr 2011"
17732,"303.97",1,373,"303.97","Low Value — Bulk Email Only","02 Dec 2010"
16400,"303.93",1,95,"303.93","Low Value — Bulk Email Only","06 Sep 2011"
17433,"303.16",1,88,"303.16","Low Value — Bulk Email Only","12 Sep 2011"
16425,"302.70",1,302,"302.70","Low Value — Bulk Email Only","10 Feb 2011"
14248,"302.58",1,318,"302.58","Low Value — Bulk Email Only","25 Jan 2011"
18165,"302.46",1,177,"302.46","Low Value — Bulk Email Only","15 Jun 2011"
16292,"302.25",1,122,"302.25","Low Value — Bulk Email Only","10 Aug 2011"
17506,"302.20",1,76,"302.20","Low Value — Bulk Email Only","25 Sep 2011"
17094,"302.00",1,322,"302.00","Low Value — Bulk Email Only","21 Jan 2011"
16297,"301.90",1,269,"301.90","Low Value — Bulk Email Only","16 Mar 2011"
15623,"301.03",1,141,"301.03","Low Value — Bulk Email Only","21 Jul 2011"
13479,"300.95",2,201,"150.47","Low Value — Bulk Email Only","23 May 2011"
14762,"300.52",1,264,"300.52","Low Value — Bulk Email Only","21 Mar 2011"
13304,"300.42",1,351,"300.42","Low Value — Bulk Email Only","23 Dec 2010"
15254,"300.36",1,127,"300.36","Low Value — Bulk Email Only","04 Aug 2011"
13745,"300.04",1,162,"300.04","Low Value — Bulk Email Only","30 Jun 2011"
18215,"299.34",1,89,"299.34","Low Value — Bulk Email Only","11 Sep 2011"
17124,"298.89",1,185,"298.89","Low Value — Bulk Email Only","07 Jun 2011"
15609,"298.48",1,184,"298.48","Low Value — Bulk Email Only","08 Jun 2011"
17678,"298.11",1,264,"298.11","Low Value — Bulk Email Only","21 Mar 2011"
12881,"298.00",1,276,"298.00","Low Value — Bulk Email Only","09 Mar 2011"
13708,"296.88",1,271,"296.88","Low Value — Bulk Email Only","13 Mar 2011"
17531,"296.70",1,190,"296.70","Low Value — Bulk Email Only","02 Jun 2011"
13441,"296.64",1,92,"296.64","Low Value — Bulk Email Only","09 Sep 2011"
15154,"296.42",1,75,"296.42","Low Value — Bulk Email Only","25 Sep 2011"
13751,"296.25",1,288,"296.25","Low Value — Bulk Email Only","24 Feb 2011"
12829,"293.00",2,337,"146.50","Low Value — Bulk Email Only","07 Jan 2011"
16721,"292.47",1,262,"292.47","Low Value — Bulk Email Only","22 Mar 2011"
15279,"290.51",1,355,"290.51","Low Value — Bulk Email Only","20 Dec 2010"
16526,"290.36",1,172,"290.36","Low Value — Bulk Email Only","21 Jun 2011"
16125,"289.35",1,367,"289.35","Low Value — Bulk Email Only","07 Dec 2010"
14549,"289.24",1,311,"289.24","Low Value — Bulk Email Only","01 Feb 2011"
15396,"288.18",1,113,"288.18","Low Value — Bulk Email Only","19 Aug 2011"
13062,"286.50",1,191,"286.50","Low Value — Bulk Email Only","01 Jun 2011"
17140,"285.32",1,247,"285.32","Low Value — Bulk Email Only","06 Apr 2011"
16429,"284.55",1,106,"284.55","Low Value — Bulk Email Only","25 Aug 2011"
13121,"283.73",1,269,"283.73","Low Value — Bulk Email Only","15 Mar 2011"
13439,"283.71",1,255,"283.71","Low Value — Bulk Email Only","29 Mar 2011"
17251,"283.28",1,363,"283.28","Low Value — Bulk Email Only","12 Dec 2010"
17694,"283.12",1,142,"283.12","Low Value — Bulk Email Only","21 Jul 2011"
14350,"282.93",1,274,"282.93","Low Value — Bulk Email Only","10 Mar 2011"
13754,"282.60",2,152,"141.30","Low Value — Bulk Email Only","11 Jul 2011"
16276,"277.80",1,177,"277.80","Low Value — Bulk Email Only","16 Jun 2011"
14908,"277.80",1,74,"277.80","Low Value — Bulk Email Only","26 Sep 2011"
17968,"277.35",1,374,"277.35","Low Value — Bulk Email Only","01 Dec 2010"
13803,"277.07",1,255,"277.07","Low Value — Bulk Email Only","29 Mar 2011"
12750,"275.88",1,129,"275.88","Low Value — Bulk Email Only","03 Aug 2011"
16727,"272.82",1,364,"272.82","Low Value — Bulk Email Only","10 Dec 2010"
17498,"272.22",1,76,"272.22","Low Value — Bulk Email Only","25 Sep 2011"
14816,"271.85",1,197,"271.85","Low Value — Bulk Email Only","26 May 2011"
13837,"271.24",2,212,"135.62","Low Value — Bulk Email Only","12 May 2011"
17496,"271.05",1,359,"271.05","Low Value — Bulk Email Only","16 Dec 2010"
18108,"271.00",1,254,"271.00","Low Value — Bulk Email Only","30 Mar 2011"
14727,"268.58",1,274,"268.58","Low Value — Bulk Email Only","10 Mar 2011"
15408,"267.18",1,264,"267.18","Low Value — Bulk Email Only","20 Mar 2011"
15517,"267.03",1,233,"267.03","Low Value — Bulk Email Only","20 Apr 2011"
16451,"266.97",1,88,"266.97","Low Value — Bulk Email Only","13 Sep 2011"
15119,"266.40",1,246,"266.40","Low Value — Bulk Email Only","08 Apr 2011"
15019,"266.00",1,267,"266.00","Low Value — Bulk Email Only","18 Mar 2011"
14068,"265.85",1,320,"265.85","Low Value — Bulk Email Only","23 Jan 2011"
14423,"265.20",1,218,"265.20","Low Value — Bulk Email Only","05 May 2011"
13973,"264.70",1,287,"264.70","Low Value — Bulk Email Only","25 Feb 2011"
15143,"259.45",1,226,"259.45","Low Value — Bulk Email Only","28 Apr 2011"
13127,"259.17",1,78,"259.17","Low Value — Bulk Email Only","23 Sep 2011"
16447,"259.01",1,136,"259.01","Low Value — Bulk Email Only","27 Jul 2011"
13227,"257.70",1,202,"257.70","Low Value — Bulk Email Only","22 May 2011"
14375,"257.68",1,185,"257.68","Low Value — Bulk Email Only","07 Jun 2011"
18009,"257.34",1,235,"257.34","Low Value — Bulk Email Only","18 Apr 2011"
13626,"257.23",1,253,"257.23","Low Value — Bulk Email Only","01 Apr 2011"
15261,"254.82",1,135,"254.82","Low Value — Bulk Email Only","27 Jul 2011"
12604,"254.18",2,79,"127.09","Low Value — Bulk Email Only","21 Sep 2011"
12797,"254.03",1,366,"254.03","Low Value — Bulk Email Only","09 Dec 2010"
17860,"252.80",1,369,"252.80","Low Value — Bulk Email Only","06 Dec 2010"
15035,"252.73",1,90,"252.73","Low Value — Bulk Email Only","11 Sep 2011"
15346,"252.42",1,333,"252.42","Low Value — Bulk Email Only","11 Jan 2011"
13645,"252.10",1,120,"252.10","Low Value — Bulk Email Only","11 Aug 2011"
13711,"252.06",2,219,"126.03","Low Value — Bulk Email Only","05 May 2011"
16976,"251.52",1,267,"251.52","Low Value — Bulk Email Only","17 Mar 2011"
13512,"251.21",1,261,"251.21","Low Value — Bulk Email Only","24 Mar 2011"
17303,"250.04",1,361,"250.04","Low Value — Bulk Email Only","13 Dec 2010"
15510,"250.00",1,331,"250.00","Low Value — Bulk Email Only","13 Jan 2011"
17456,"249.86",1,365,"249.86","Low Value — Bulk Email Only","09 Dec 2010"
16124,"249.00",1,317,"249.00","Low Value — Bulk Email Only","26 Jan 2011"
18212,"248.42",1,326,"248.42","Low Value — Bulk Email Only","17 Jan 2011"
17464,"248.20",1,158,"248.20","Low Value — Bulk Email Only","04 Jul 2011"
16510,"248.10",1,372,"248.10","Low Value — Bulk Email Only","02 Dec 2010"
18072,"247.44",1,186,"247.44","Low Value — Bulk Email Only","07 Jun 2011"
17051,"247.14",1,194,"247.14","Low Value — Bulk Email Only","29 May 2011"
15087,"246.46",1,282,"246.46","Low Value — Bulk Email Only","03 Mar 2011"
17278,"246.04",1,241,"246.04","Low Value — Bulk Email Only","12 Apr 2011"
17925,"244.08",1,373,"244.08","Low Value — Bulk Email Only","02 Dec 2010"
18193,"243.76",1,165,"243.76","Low Value — Bulk Email Only","27 Jun 2011"
17908,"243.28",1,374,"243.28","Low Value — Bulk Email Only","01 Dec 2010"
14647,"243.22",1,201,"243.22","Low Value — Bulk Email Only","22 May 2011"
16215,"242.35",1,81,"242.35","Low Value — Bulk Email Only","20 Sep 2011"
15776,"241.62",1,133,"241.62","Low Value — Bulk Email Only","29 Jul 2011"
14523,"241.09",1,108,"241.09","Low Value — Bulk Email Only","23 Aug 2011"
13570,"239.49",1,243,"239.49","Low Value — Bulk Email Only","10 Apr 2011"
16756,"239.40",1,215,"239.40","Low Value — Bulk Email Only","09 May 2011"
12561,"238.85",1,303,"238.85","Low Value — Bulk Email Only","10 Feb 2011"
17877,"237.61",1,170,"237.61","Low Value — Bulk Email Only","22 Jun 2011"
17553,"237.60",1,130,"237.60","Low Value — Bulk Email Only","02 Aug 2011"
14586,"237.36",1,277,"237.36","Low Value — Bulk Email Only","08 Mar 2011"
15457,"237.07",1,262,"237.07","Low Value — Bulk Email Only","22 Mar 2011"
12732,"236.26",1,180,"236.26","Low Value — Bulk Email Only","13 Jun 2011"
13187,"236.02",1,337,"236.02","Low Value — Bulk Email Only","06 Jan 2011"
16961,"234.17",1,116,"234.17","Low Value — Bulk Email Only","15 Aug 2011"
12736,"234.00",1,333,"234.00","Low Value — Bulk Email Only","11 Jan 2011"
16583,"233.45",1,374,"233.45","Low Value — Bulk Email Only","01 Dec 2010"
16302,"233.22",1,127,"233.22","Low Value — Bulk Email Only","05 Aug 2011"
18213,"232.48",1,237,"232.48","Low Value — Bulk Email Only","17 Apr 2011"
16117,"232.21",1,190,"232.21","Low Value — Bulk Email Only","03 Jun 2011"
16641,"231.10",1,106,"231.10","Low Value — Bulk Email Only","26 Aug 2011"
15866,"230.53",1,101,"230.53","Low Value — Bulk Email Only","30 Aug 2011"
13786,"230.40",1,367,"230.40","Low Value — Bulk Email Only","07 Dec 2010"
16926,"230.25",1,371,"230.25","Low Value — Bulk Email Only","03 Dec 2010"
13474,"229.59",1,236,"229.59","Low Value — Bulk Email Only","17 Apr 2011"
13008,"229.47",1,323,"229.47","Low Value — Bulk Email Only","20 Jan 2011"
15528,"229.33",1,254,"229.33","Low Value — Bulk Email Only","30 Mar 2011"
13712,"228.84",1,247,"228.84","Low Value — Bulk Email Only","07 Apr 2011"
13070,"228.80",1,192,"228.80","Low Value — Bulk Email Only","31 May 2011"
16527,"228.06",1,81,"228.06","Low Value — Bulk Email Only","19 Sep 2011"
17212,"226.85",1,253,"226.85","Low Value — Bulk Email Only","31 Mar 2011"
16315,"226.37",1,331,"226.37","Low Value — Bulk Email Only","13 Jan 2011"
16619,"226.21",1,264,"226.21","Low Value — Bulk Email Only","21 Mar 2011"
17789,"225.90",1,281,"225.90","Low Value — Bulk Email Only","03 Mar 2011"
12672,"225.90",1,330,"225.90","Low Value — Bulk Email Only","14 Jan 2011"
12402,"225.60",1,323,"225.60","Low Value — Bulk Email Only","20 Jan 2011"
16587,"225.15",1,232,"225.15","Low Value — Bulk Email Only","21 Apr 2011"
17171,"224.91",1,289,"224.91","Low Value — Bulk Email Only","23 Feb 2011"
16471,"223.95",1,275,"223.95","Low Value — Bulk Email Only","10 Mar 2011"
13382,"222.99",1,281,"222.99","Low Value — Bulk Email Only","04 Mar 2011"
16715,"222.52",1,78,"222.52","Low Value — Bulk Email Only","22 Sep 2011"
16392,"221.19",1,270,"221.19","Low Value — Bulk Email Only","15 Mar 2011"
18114,"220.10",1,290,"220.10","Low Value — Bulk Email Only","22 Feb 2011"
13600,"219.52",1,312,"219.52","Low Value — Bulk Email Only","31 Jan 2011"
17619,"218.52",1,312,"218.52","Low Value — Bulk Email Only","31 Jan 2011"
12574,"218.45",1,316,"218.45","Low Value — Bulk Email Only","28 Jan 2011"
15554,"217.20",1,278,"217.20","Low Value — Bulk Email Only","07 Mar 2011"
15460,"216.76",1,354,"216.76","Low Value — Bulk Email Only","20 Dec 2010"
12897,"216.50",2,205,"108.25","Low Value — Bulk Email Only","19 May 2011"
15052,"215.78",1,319,"215.78","Low Value — Bulk Email Only","24 Jan 2011"
14476,"215.70",1,257,"215.70","Low Value — Bulk Email Only","27 Mar 2011"
15361,"215.40",1,362,"215.40","Low Value — Bulk Email Only","13 Dec 2010"
13678,"215.32",1,152,"215.32","Low Value — Bulk Email Only","11 Jul 2011"
12831,"215.05",1,262,"215.05","Low Value — Bulk Email Only","22 Mar 2011"
16338,"214.80",1,157,"214.80","Low Value — Bulk Email Only","05 Jul 2011"
13621,"213.85",1,117,"213.85","Low Value — Bulk Email Only","15 Aug 2011"
14241,"213.70",1,184,"213.70","Low Value — Bulk Email Only","09 Jun 2011"
13411,"213.55",1,107,"213.55","Low Value — Bulk Email Only","24 Aug 2011"
15703,"211.50",1,265,"211.50","Low Value — Bulk Email Only","20 Mar 2011"
12995,"211.32",1,85,"211.32","Low Value — Bulk Email Only","15 Sep 2011"
17855,"208.97",1,373,"208.97","Low Value — Bulk Email Only","02 Dec 2010"
17514,"208.65",1,128,"208.65","Low Value — Bulk Email Only","03 Aug 2011"
16457,"208.36",1,218,"208.36","Low Value — Bulk Email Only","05 May 2011"
12547,"207.80",2,198,"103.90","Low Value — Bulk Email Only","26 May 2011"
18191,"207.80",1,262,"207.80","Low Value — Bulk Email Only","23 Mar 2011"
17923,"207.50",1,282,"207.50","Low Value — Bulk Email Only","02 Mar 2011"
16752,"207.50",1,373,"207.50","Low Value — Bulk Email Only","02 Dec 2010"
16323,"207.50",1,196,"207.50","Low Value — Bulk Email Only","27 May 2011"
15925,"207.15",1,194,"207.15","Low Value — Bulk Email Only","29 May 2011"
15820,"206.98",1,320,"206.98","Low Value — Bulk Email Only","24 Jan 2011"
14964,"206.21",1,247,"206.21","Low Value — Bulk Email Only","06 Apr 2011"
13065,"205.86",1,373,"205.86","Low Value — Bulk Email Only","01 Dec 2010"
17670,"205.70",1,228,"205.70","Low Value — Bulk Email Only","26 Apr 2011"
17843,"205.48",1,303,"205.48","Low Value — Bulk Email Only","09 Feb 2011"
15307,"205.30",1,96,"205.30","Low Value — Bulk Email Only","05 Sep 2011"
13513,"205.10",1,127,"205.10","Low Value — Bulk Email Only","05 Aug 2011"
15319,"204.50",1,284,"204.50","Low Value — Bulk Email Only","01 Mar 2011"
17187,"203.95",1,227,"203.95","Low Value — Bulk Email Only","27 Apr 2011"
17891,"203.86",1,162,"203.86","Low Value — Bulk Email Only","30 Jun 2011"
15723,"203.10",1,365,"203.10","Low Value — Bulk Email Only","10 Dec 2010"
15347,"201.60",1,366,"201.60","Low Value — Bulk Email Only","08 Dec 2010"
13295,"201.20",1,360,"201.20","Low Value — Bulk Email Only","15 Dec 2010"
13284,"201.19",1,331,"201.19","Low Value — Bulk Email Only","13 Jan 2011"
16965,"201.19",1,227,"201.19","Low Value — Bulk Email Only","27 Apr 2011"
13859,"201.16",1,326,"201.16","Low Value — Bulk Email Only","17 Jan 2011"
17693,"200.47",1,137,"200.47","Low Value — Bulk Email Only","25 Jul 2011"
13262,"200.29",1,263,"200.29","Low Value — Bulk Email Only","21 Mar 2011"
15437,"200.16",1,262,"200.16","Low Value — Bulk Email Only","22 Mar 2011"
14782,"200.10",1,320,"200.10","Low Value — Bulk Email Only","24 Jan 2011"
13723,"199.85",1,217,"199.85","Low Value — Bulk Email Only","06 May 2011"
17987,"198.57",1,185,"198.57","Low Value — Bulk Email Only","07 Jun 2011"
16178,"197.90",1,138,"197.90","Low Value — Bulk Email Only","24 Jul 2011"
12450,"197.88",2,156,"98.94","Low Value — Bulk Email Only","06 Jul 2011"
14185,"197.65",1,331,"197.65","Low Value — Bulk Email Only","12 Jan 2011"
16829,"197.22",1,157,"197.22","Low Value — Bulk Email Only","06 Jul 2011"
15234,"197.00",1,277,"197.00","Low Value — Bulk Email Only","08 Mar 2011"
15746,"196.88",1,134,"196.88","Low Value — Bulk Email Only","28 Jul 2011"
17660,"196.00",1,141,"196.00","Low Value — Bulk Email Only","21 Jul 2011"
14100,"194.90",1,138,"194.90","Low Value — Bulk Email Only","25 Jul 2011"
17475,"194.37",1,79,"194.37","Low Value — Bulk Email Only","21 Sep 2011"
15683,"193.75",1,117,"193.75","Low Value — Bulk Email Only","14 Aug 2011"
17343,"193.64",1,355,"193.64","Low Value — Bulk Email Only","19 Dec 2010"
14806,"193.39",1,75,"193.39","Low Value — Bulk Email Only","25 Sep 2011"
13568,"192.85",1,173,"192.85","Low Value — Bulk Email Only","19 Jun 2011"
12791,"192.60",1,374,"192.60","Low Value — Bulk Email Only","01 Dec 2010"
15909,"191.94",1,174,"191.94","Low Value — Bulk Email Only","19 Jun 2011"
13033,"190.55",1,357,"190.55","Low Value — Bulk Email Only","17 Dec 2010"
